beruf,gebietsart,gebietsnummer,geburtsdatum,geschlecht,gruppe,name,vorname,vorperiode,wahlart,Gebiet,bundesland_kennung,bundesland,party
Dipl.-Politologin / Politikwissenschaftlerin,WAHLKREIS,62,1979,w,2,Schimke,Jana,J,E,Dahme-Spreewald – Teltow-Fläming III – Oberspreewald-Lausitz I,12,Brandenburg,CDU/CSU
MdB,WAHLKREIS,192,1976,m,2,Schipanski,Tankred,J,E,Gotha – Ilm-Kreis,16,Thüringen,CDU/CSU
MdL,LAND,8,1973,m,1,Schmid,Nils,N,Z,0,8,Baden-Württemberg,SPD
Bundesminister,WAHLKREIS,243,1957,m,3,Schmidt,Christian,J,E,Fürth,9,Bayern,CDU/CSU
Historikerin,LAND,6,1973,w,1,Schmidt,Dagmar,J,Z,0,6,Hessen,SPD
Sozialwissenschaftler,LAND,5,1953,m,5,Schmidt,Frithjof,J,Z,0,5,Nordrhein-Westfalen,GRÜNE
Lehrerin für Sonderpädagogik,LAND,5,1949,w,1,Schmidt,Ursula (Ulla),J,Z,0,5,Nordrhein-Westfalen,SPD
Hafenfacharbeiter,WAHLKREIS,55,1966,m,1,Schmidt,Uwe,N,E,Bremen II – Bremerhaven,4,Bremen,SPD
Ärztin,LAND,1,1966,w,2,Schmidtke,Claudia,N,Z,0,1,Schleswig-Holstein,CDU/CSU
Bankkaufmann,LAND,16,1976,m,1,Schneider,Carsten,J,Z,0,16,Thüringen,SPD
MdB / Rechtsanwalt,WAHLKREIS,202,1968,m,2,Schnieder,Patrick,J,E,Bitburg,7,Rheinland-Pfalz,CDU/CSU
MdB,WAHLKREIS,298,1983,w,2,Schön,Nadine,J,E,St. Wendel,10,Saarland,CDU/CSU
wiss. Mitarbeiterin,LAND,9,1981,w,1,Schrader,Katharina Marianne Ute,N,Z,0,9,Bayern,SPD
wiss. Mitarbeiter Bundestag,WAHLKREIS,46,1983,m,1,Schraps,Johannes,N,E,Hameln-Pyrmont – Holzminden,3,Niedersachsen,SPD
MdL,WAHLKREIS,288,1986,m,2,Schreiner,Felix,N,E,Waldshut,8,Baden-Württemberg,CDU/CSU
Studienrat,LAND,9,1977,m,1,Schrodi,Michael,N,Z,0,9,Bayern,SPD
Angestellte,WAHLKREIS,61,1976,w,1,Schüle,Manja,N,E,Potsdam – Potsdam-Mittelmark II – Teltow-Fläming II,12,Brandenburg,SPD
MdB / Hausfrau,LAND,5,1952,w,1,Schulte,Ursula,J,Z,0,5,Nordrhein-Westfalen,SPD
Buchhändler,LAND,5,1955,m,1,Schulz,Martin,N,Z,0,5,Nordrhein-Westfalen,SPD
MdB,LAND,11,1968,m,1,Schulz,Swen,J,Z,0,11,Berlin,SPD
Kommunikationswissenschaftlerin,LAND,6,1956,w,5,Schulz-Asche,Kordula Anna Paula,J,Z,0,6,Hessen,GRÜNE
MdB / Dipl.-Lehrer,WAHLKREIS,64,1954,m,2,Schulze,Klaus-Peter Friedrich Walter,J,E,Cottbus – Spree-Neiße,12,Brandenburg,CDU/CSU
Groß- und Außenhandelskaufmann,WAHLKREIS,111,1957,m,2,Schummer,Uwe,J,E,Viersen,5,Nordrhein-Westfalen,CDU/CSU
MdB / Dipl.-Betriebswirt,LAND,9,1954,m,1,Schurer,Ewald,J,Z,0,9,Bayern,SPD
MdB,WAHLKREIS,282,1961,m,2,Schuster,Armin,J,E,Lörrach – Müllheim,8,Baden-Württemberg,CDU/CSU
MdB,WAHLKREIS,121,1970,m,1,Schwabe,Frank,J,E,Recklinghausen I,5,Nordrhein-Westfalen,SPD
MdB / Industriemechaniker,WAHLKREIS,133,1974,m,1,Schwartze,Stefan,J,E,Herford – Minden-Lübbecke II,5,Nordrhein-Westfalen,SPD
MdB / Dipl.-Betriebswirt (FH),LAND,9,1965,m,1,Schwarz,Andreas,J,Z,0,9,Bayern,SPD
MdB / parl. Staatssekretärin,LAND,8,1962,w,1,Schwarzelühr-Sutter,Rita,J,Z,0,8,Baden-Württemberg,SPD
MdB / Rechtsanwalts- und Notarfachangestellte,LAND,11,1976,w,2,Schwarzer,Christina,J,Z,0,11,Berlin,CDU/CSU
Dipl.-Ingenieur,WAHLKREIS,74,1968,m,2,Schweiger,Torsten,N,E,Mansfeld,15,Sachsen-Anhalt,CDU/CSU
kfm. Angestellter,WAHLKREIS,52,1970,m,1,Seidel,Marcus,N,E,Goslar – Northeim – Osterode,3,Niedersachsen,SPD
MdB / Rechtsanwalt,WAHLKREIS,92,1962,m,2,Seif,Detlef,J,E,Euskirchen – Rhein-Erft-Kreis II,5,Nordrhein-Westfalen,CDU/CSU
Dipl.-Mathematiker,WAHLKREIS,191,1956,m,2,Selle,Johannes,J,E,Jena – Sömmerda – Weimarer Land I,16,Thüringen,CDU/CSU
MdB / Studiendirektor a. D.,WAHLKREIS,130,1952,m,2,Sendker,Reinhold,J,E,Warendorf,5,Nordrhein-Westfalen,CDU/CSU
MdB / Hochschullehrer,WAHLKREIS,147,1971,m,2,Sensburg,Patrick Ernst Hermann,J,E,Hochsauerlandkreis,5,Nordrhein-Westfalen,CDU/CSU
selbst. Kaufmann,LAND,6,1949,m,2,Siebert,Bernd,J,Z,0,6,Hessen,CDU/CSU
parl. Staatssekretär,WAHLKREIS,236,1968,m,3,Silberhorn,Thomas,J,E,Bamberg,9,Bayern,CDU/CSU
Politikwissenschaftler,WAHLKREIS,185,1981,m,2,Simon,Björn Manuel,N,E,Offenbach,6,Hessen,CDU/CSU
Dipl.-Ökonomin,LAND,15,1960,w,34,Sitte,Petra,J,Z,0,15,Sachsen-Anhalt,DIE LINKE
wiss. Mitarbeiterin,LAND,11,1971,w,34,Sommer,Evrim,N,Z,0,11,Berlin,DIE LINKE
MdB / Rechtsanwalt,WAHLKREIS,69,1975,m,2,Sorge,Tino,J,E,Magdeburg,15,Sachsen-Anhalt,CDU/CSU
MdB / Bankkaufmann,WAHLKREIS,124,1980,m,2,Spahn,Jens,J,E,Steinfurt I – Borken I,5,Nordrhein-Westfalen,CDU/CSU
kfm. Angestellte im Betriebsratsmanagement,LAND,5,1970,w,1,Specker,Nicole,N,Z,0,5,Nordrhein-Westfalen,SPD
selbst. Kaufmann,LAND,5,1961,m,2,Spiecker,Rainer,N,Z,0,5,Nordrhein-Westfalen,CDU/CSU
MdB,LAND,3,1956,m,1,Spiering,Rainer,J,Z,0,3,Niedersachsen,SPD
Polizeibeamter,LAND,5,1957,m,1,Spinrath,Norbert,J,Z,0,5,Nordrhein-Westfalen,SPD
Bürgermeisterin,WAHLKREIS,186,1968,w,1,Sprößler,Christel,N,E,Darmstadt,6,Hessen,SPD
MdB / Senior-PR-Beraterin,LAND,3,1976,w,1,Stadler,Svenja,J,Z,0,3,Niedersachsen,SPD
Biochemikerin (M. Sc.),WAHLKREIS,215,1981,w,3,Staffler,Katrin,N,E,Fürstenfeldbruck,9,Bayern,CDU/CSU
MdB / Marketing- und Kommunikationsmanagerin,LAND,9,1965,w,1,Stamm-Fibich,Martina,J,Z,0,9,Bayern,SPD
Dipl.-Kaufmann,WAHLKREIS,77,1966,m,2,Steffel,Frank,J,E,Berlin-Reinickendorf,11,Berlin,CDU/CSU
Rechtsanwältin,LAND,13,1963,w,1,Steffen,Sonja Amalie,J,Z,0,13,Mecklenburg-Vorpommern,SPD
MdB / Betriebswirt,WAHLKREIS,218,1985,m,3,Stefinger,Wolfgang,J,E,München-Ost,9,Bayern,CDU/CSU
MdB / Landwirtschaftsmeister,WAHLKREIS,31,1976,m,2,Stegemann,Albert,J,E,Mittelems,3,Niedersachsen,CDU/CSU
Dipl.-Ingenieur,WAHLKREIS,203,1972,m,2,Steier,Andreas,N,E,Trier,7,Rheinland-Pfalz,CDU/CSU
Bautechniker,WAHLKREIS,5,1970,m,1,Stein,Jens Mathias,N,E,Kiel,1,Schleswig-Holstein,SPD
MdB,WAHLKREIS,14,1968,m,2,Stein,Peter,J,E,Rostock – Landkreis Rostock II,13,Mecklenburg-Vorpommern,CDU/CSU
Rechtsanwalt,WAHLKREIS,56,1973,m,2,Steineke,Sebastian,J,E,Prignitz – Ostprignitz-Ruppin – Havelland I,12,Brandenburg,CDU/CSU
MdB / Gymnasiallehrer,WAHLKREIS,208,1987,m,2,Steiniger,Johannes,J,E,Neustadt – Speyer,7,Rheinland-Pfalz,CDU/CSU
MdB / Agraringenieurin,LAND,16,1958,w,34,Steinke,Kersten,J,Z,0,16,Thüringen,DIE LINKE
MdB / selbst. Kaufmann,WAHLKREIS,268,1970,m,2,Stetten,Christian Alexander,J,E,Schwäbisch Hall – Hohenlohe,8,Baden-Württemberg,CDU/CSU
MdB / Dipl.-Agraringenieur,WAHLKREIS,73,1964,m,2,Stier,Dieter,J,E,Burgenland – Saalekreis,15,Sachsen-Anhalt,CDU/CSU
MdB,LAND,5,1967,w,2,Stockhofe,Rita,J,Z,0,5,Nordrhein-Westfalen,CDU/CSU
MdB / Dipl.-Betriebswirt (FH),WAHLKREIS,8,1958,m,2,Storjohann,Gero,J,E,Segeberg – Stormarn-Mitte,1,Schleswig-Holstein,CDU/CSU
MdB,WAHLKREIS,257,1974,m,3,Stracke,Stephan,J,E,Ostallgäu,9,Bayern,CDU/CSU
Versicherungskaufmann,WAHLKREIS,230,1954,m,3,Straubinger,Max,J,E,Rottal-Inn,9,Bayern,CDU/CSU
Volkswirt,LAND,6,1964,m,5,Strengmann-Kuhn,Wolfgang,J,Z,0,6,Hessen,GRÜNE
MdB,WAHLKREIS,13,1967,w,2,Strenz,Karin,J,E,Ludwigslust-Parchim II – Nordwestmecklenburg II – Landkreis Rostock I,13,Mecklenburg-Vorpommern,CDU/CSU
MdB / Rechtsanwalt,LAND,1,1957,m,2,Stritzl,Thomas,J,Z,0,1,Schleswig-Holstein,CDU/CSU
MdB / Baufacharbeiter / Pfarrer,WAHLKREIS,65,1959,m,2,Stübgen,Michael,J,E,Elbe-Elster – Oberspreewald-Lausitz II,12,Brandenburg,CDU/CSU
MdB / Dipl.-Sozialpädagogin,WAHLKREIS,41,1968,w,1,Tack,Kerstin,J,E,Stadt Hannover I,3,Niedersachsen,SPD
MdB / Tierärztin,LAND,12,1960,w,34,Tackmann,Kirsten,J,Z,0,12,Brandenburg,DIE LINKE
Sozialarbeiterin (B. A.),LAND,8,1981,w,34,Tatti,Jessica,N,Z,0,8,Baden-Württemberg,DIE LINKE
MdB,WAHLKREIS,175,1974,m,2,Tauber,Peter Michael,J,E,Main-Kinzig – Wetterau II – Schotten,6,Hessen,CDU/CSU
MdB / Dipl.-Geografin,LAND,9,1964,w,1,Tausend,Claudia,J,Z,0,9,Bayern,SPD
Landrat,WAHLKREIS,100,1964,m,2,Tebroke,Hermann-Josef,N,E,Rheinisch-Bergischer Kreis,5,Nordrhein-Westfalen,CDU/CSU
MdL,LAND,13,1958,w,1,Tegtmeier,Martina,N,Z,0,13,Mecklenburg-Vorpommern,SPD
MdB / Polizeibeamter,LAND,16,1969,m,34,Tempel,Frank,J,Z,0,16,Thüringen,DIE LINKE
Dipl.-Politologe,LAND,1,1974,m,1,Teschendorf,Clemens,N,Z,0,1,Schleswig-Holstein,SPD
Dipl.-Chemieingenieur,WAHLKREIS,145,1964,m,1,Thews,Michael,J,E,Hamm – Unna II,5,Nordrhein-Westfalen,SPD
Rechtsanwalt,WAHLKREIS,146,1955,m,2,Thies,Hans-Jürgen,N,E,Soest,5,Nordrhein-Westfalen,CDU/CSU
Tierärztin,LAND,1,1960,w,1,Thissen,Karin,J,Z,0,1,Schleswig-Holstein,SPD
Rechtsanwalt,WAHLKREIS,267,1968,m,2,Throm,Alexander,N,E,Heilbronn,8,Baden-Württemberg,CDU/CSU
Dipl.-Finanzwirtin,WAHLKREIS,193,1964,w,2,Tillmann,Antje,J,E,Erfurt – Weimar – Weimarer Land II,16,Thüringen,CDU/CSU
MdB / Geschäftsführerin,LAND,5,1963,w,2,Timmermann-Fechter,Astrid,J,Z,0,5,Nordrhein-Westfalen,CDU/CSU
Politologe,WAHLKREIS,123,1964,m,1,Töns,Markus,N,E,Gelsenkirchen,5,Nordrhein-Westfalen,SPD
MdB,LAND,9,1973,m,1,Träger,Carsten Dietmar,J,Z,0,9,Bayern,SPD
MdB,LAND,10,1977,m,5,Tressel,Markus Stefan,J,Z,0,10,Saarland,GRÜNE
MdB / Bundesminister a. D.,LAND,3,1954,m,5,Trittin,Jürgen,J,Z,0,3,Niedersachsen,GRÜNE
MdB / Geschäftsführer,LAND,14,1954,m,34,Troost,Axel,J,Z,0,14,Sachsen,DIE LINKE
Dipl.-Kaufmann,WAHLKREIS,299,1979,m,2,Uhl,Markus Alexander,J,E,Homburg,10,Saarland,CDU/CSU
MdB,WAHLKREIS,252,1975,m,3,Ullrich,Volker Michael,J,E,Augsburg-Stadt,9,Bayern,CDU/CSU
MdB,LAND,7,1971,m,34,Ulrich,Alexander,J,Z,0,7,Rheinland-Pfalz,DIE LINKE
MdB,WAHLKREIS,160,1955,m,2,Vaatz,Arnold,J,E,Dresden II – Bautzen II,14,Sachsen,CDU/CSU
MdB,WAHLKREIS,177,1961,m,2,Veith,Oswin,J,E,Wetterau I,6,Hessen,CDU/CSU
MdB / Dipl.-Umweltwissenschaftlerin,LAND,3,1979,w,5,Verlinden,Julia Maria Kornelia,J,Z,0,3,Niedersachsen,GRÜNE
Betriebswirtin,LAND,5,1976,w,2,Vieregge,Kerstin,N,Z,0,5,Nordrhein-Westfalen,CDU/CSU
Bankkaufmann,WAHLKREIS,167,1973,m,2,Viesehon,Thomas,J,E,Waldeck,6,Hessen,CDU/CSU
MdB / Dipl.-Ökonom,LAND,3,1968,m,2,Vietz,Michael,J,Z,0,3,Niedersachsen,CDU/CSU
Dipl.-Ingenieur (FH),WAHLKREIS,194,1959,m,2,Vogel,Volkmar,J,E,Gera – Greiz – Altenburger Land,16,Thüringen,CDU/CSU
MdB,LAND,5,1963,w,34,Vogler,Kathrin,J,Z,0,5,Nordrhein-Westfalen,DIE LINKE
Gymnasiallehrer / Dipl.-Physiker,WAHLKREIS,134,1977,m,2,Vogt,Oliver,N,E,Minden-Lübbecke I,5,Nordrhein-Westfalen,CDU/CSU
MdB / Rechtsanwältin,LAND,8,1964,w,1,Vogt,Ute,J,Z,0,8,Baden-Württemberg,SPD
Studienrätin,WAHLKREIS,40,1984,w,1,Völlers,Marja-Liisa,N,E,Nienburg II – Schaumburg,3,Niedersachsen,SPD
MdB,LAND,5,1976,m,2,Volmering,Sven,J,Z,0,5,Nordrhein-Westfalen,CDU/CSU
selbst. Kaufmann,WAHLKREIS,117,1971,m,1,Vöpel,Dirk,J,E,Oberhausen – Wesel III,5,Nordrhein-Westfalen,SPD
Dipl.-Sozialpädagogin,LAND,5,1961,w,2,Voßbeck-Kayser,Christel,J,Z,0,5,Nordrhein-Westfalen,CDU/CSU
Dipl.-Soziologe / ltd. Angestellter,LAND,2,1974,m,2,Vries,Christoph Bernhard,N,Z,0,2,Hamburg,CDU/CSU
MdB,WAHLKREIS,71,1955,m,2,Vries,Kees,J,E,Anhalt,15,Sachsen-Anhalt,CDU/CSU
MdB / Rechtsanwalt,WAHLKREIS,4,1963,m,2,Wadephul,Johann David,J,E,Rendsburg-Eckernförde,1,Schleswig-Holstein,CDU/CSU
MdB,LAND,5,1969,w,34,Wagenknecht,Sahra,J,Z,0,5,Nordrhein-Westfalen,DIE LINKE
Politikwissenschaftler,LAND,1,1987,m,1,Wagner,Alexander,N,Z,0,1,Schleswig-Holstein,SPD
Stadträtin a. D.,LAND,6,1957,w,5,Wagner,Daniela,N,Z,0,6,Hessen,GRÜNE
MdB / Dipl.-Psychologin,LAND,9,1964,w,5,Walter-Rosenheimer,Beate,J,Z,0,9,Bayern,GRÜNE
MdB / Rechtsanwalt,WAHLKREIS,163,1975,m,2,Wanderwitz,Marco,J,E,Chemnitzer Umland – Erzgebirgskreis II,14,Sachsen,CDU/CSU
MdB / Rechtsanwältin,LAND,8,1979,w,2,Warken,Nina,J,Z,0,8,Baden-Württemberg,CDU/CSU
MdB / Keramikmalerin,LAND,7,1955,w,1,Weber,Gabi,J,Z,0,7,Rheinland-Pfalz,SPD
Industriekaufmann,LAND,5,1959,m,2,Weber,Michael,N,Z,0,5,Nordrhein-Westfalen,CDU/CSU
Schuhmachermeister,WAHLKREIS,296,1957,m,2,Wegner,Bernd Willi,N,E,Saarbrücken,10,Saarland,CDU/CSU
MdB / Versicherungskaufmann,WAHLKREIS,78,1972,m,2,Wegner,Kai,J,E,Berlin-Spandau – Charlottenburg Nord,11,Berlin,CDU/CSU
Dipl.-Verwaltungswirt / Betriebswirt,WAHLKREIS,195,1965,m,2,Weiler,Albert Helmut,J,E,Saalfeld-Rudolstadt – Saale-Holzland-Kreis – Saale-Orla-Kreis,16,Thüringen,CDU/CSU
MdB / Soziologe,LAND,9,1957,m,34,Weinberg,Harald,J,Z,0,9,Bayern,DIE LINKE
MdB,LAND,2,1967,m,2,Weinberg,Marcus,J,Z,0,2,Hamburg,CDU/CSU
MdB / Rechtsanwältin,WAHLKREIS,250,1976,w,3,Weisgerber,Anja,J,E,Schweinfurt,9,Bayern,CDU/CSU
MdB,WAHLKREIS,283,1956,m,2,Weiß,Peter Siegfried,J,E,Emmendingen – Lahr,8,Baden-Württemberg,CDU/CSU
Rechtsanwältin,WAHLKREIS,113,1958,w,2,Weiss,Sabine Katharina,J,E,Wesel I,5,Nordrhein-Westfalen,CDU/CSU
MdB / Vors. Richter am LG a. D.,WAHLKREIS,271,1959,m,2,Wellenreuther,Ingo,J,E,Karlsruhe-Stadt,8,Baden-Württemberg,CDU/CSU
Dipl.-Volkswirt,LAND,7,1985,m,2,Welling,Torsten,N,Z,0,7,Rheinland-Pfalz,CDU/CSU
Steuerfachangestellter,WAHLKREIS,135,1976,m,1,Welslau,Henning,N,E,Lippe I,5,Nordrhein-Westfalen,SPD
MdB,WAHLKREIS,151,1985,m,2,Wendt,Marian,J,E,Nordsachsen,14,Sachsen,CDU/CSU
Kauffrau im Einzelhandel,LAND,7,1973,w,34,Werner,Katrin,J,Z,0,7,Rheinland-Pfalz,DIE LINKE
MdB,LAND,3,1960,m,1,Westphal,Bernd Helmut,J,Z,0,3,Niedersachsen,SPD
selbst. Unternehmensberater,LAND,6,1964,m,2,Wett,Norbert,N,Z,0,6,Hessen,CDU/CSU
Journalistin,LAND,8,1956,w,2,Wetterich,Susanne,N,Z,0,8,Baden-Württemberg,CDU/CSU
MdB / Wirtschaftswissenschaftler (M. Sc.),WAHLKREIS,273,1985,m,2,Whittaker,Kai,J,E,Rastatt,8,Baden-Württemberg,CDU/CSU
MdB / parl. Staatssekretärin,WAHLKREIS,290,1966,w,2,Widmann-Mauz,Annette,J,E,Tübingen,8,Baden-Württemberg,CDU/CSU
Jurist,LAND,5,1983,m,1,Wiese,Dirk,J,Z,0,5,Nordrhein-Westfalen,SPD
Unternehmensberaterin,WAHLKREIS,183,1966,w,2,Wiesmann,Bettina Margarethe,N,E,Frankfurt am Main II,6,Hessen,CDU/CSU
Dipl.-Volkswirt,WAHLKREIS,178,1961,m,2,Willsch,Klaus-Peter,J,E,Rheingau-Taunus – Limburg,6,Hessen,CDU/CSU
Richterin a. D.,WAHLKREIS,97,1962,w,2,Winkelmeier-Becker,Elisabeth,J,E,Rhein-Sieg-Kreis I,5,Nordrhein-Westfalen,CDU/CSU
Dipl.-Geograph,LAND,5,1966,m,2,Wittke,Oliver,J,Z,0,5,Nordrhein-Westfalen,CDU/CSU
MdB / Verwaltungsjuristin,LAND,3,1957,w,2,Woltmann,Barbara,J,Z,0,3,Niedersachsen,CDU/CSU
MdB,LAND,5,1962,w,1,Yüksel,Gülistan,J,Z,0,5,Nordrhein-Westfalen,SPD
Journalist,LAND,5,1954,m,34,Zdebel,Hubertus,J,Z,0,5,Nordrhein-Westfalen,DIE LINKE
MdB,LAND,9,1981,m,3,Zech,Tobias,J,Z,0,9,Bayern,CDU/CSU
MdB,LAND,5,1957,m,2,Zertik,Heinrich,J,Z,0,5,Nordrhein-Westfalen,CDU/CSU
MdB,WAHLKREIS,240,1987,w,3,Zeulner,Emmi,J,E,Kulmbach,9,Bayern,CDU/CSU
Dipl.-Finanzökonomin,LAND,12,1960,w,1,Ziegler,Dagmar,J,Z,0,12,Brandenburg,SPD
Angestellter / Student,LAND,5,1985,m,2,Ziemiak,Paul,N,Z,0,5,Nordrhein-Westfalen,CDU/CSU
Werkzeugmacher / Touristikfachwirt,LAND,12,1970,m,1,Zierke,Stefan,J,Z,0,12,Brandenburg,SPD
Hochschullehrer,WAHLKREIS,182,1961,m,2,Zimmer,Matthias Rainer,J,E,Frankfurt am Main I,6,Hessen,CDU/CSU
MdB,LAND,6,1981,m,1,Zimmermann,Jens,J,Z,0,6,Hessen,SPD
Mediengestalterin,LAND,3,1956,w,34,Zimmermann,Pia-Beate,J,Z,0,3,Niedersachsen,DIE LINKE
MdB,LAND,14,1960,w,34,Zimmermann,Sabine,J,Z,0,14,Sachsen,DIE LINKE
MdB,LAND,9,1960,w,3,Zollner,Gudrun Anna Therese,J,Z,0,9,Bayern,CDU/CSU
